毛豆,2.50,2.75,3.00,普通,斤,2021-07-08
玉米,1.00,1.10,1.20,川\冀,斤,2021-07-08
花生,3.50,4.75,6.00,桂\粤,斤,2021-07-08
苦瓜,1.50,1.75,2.00,冀/鲁,斤,2021-07-08
丝瓜,1.00,1.75,2.50,豫\鲁,斤,2021-07-08
丝瓜,1.00,1.50,2.00,短,斤,2021-07-08
瓠子,0.60,0.80,1.00,普通,斤,2021-07-08
西葫芦,0.50,0.75,1.00,滇/鲁,斤,2021-07-08
佛手瓜,2.30,2.40,2.50,普通,斤,2021-07-08
金丝南瓜,0.50,0.60,0.70,冀鲁,斤,2021-07-08
南北瓜,0.60,0.70,0.80,桂,斤,2021-07-08
尖椒,0.80,1.10,1.40,冀晋/鲁新,斤,2021-07-08
螺丝椒,1.50,1.75,2.00,普通,斤,2021-07-08
柿子椒,1.00,1.25,1.50,\鲁新,斤,2021-07-08
线椒,1.00,1.25,1.50,\鲁琼新,斤,2021-07-08
杭椒,1.20,1.60,2.00,普通,斤,2021-07-08
小米椒,4.00,4.25,4.50,滇,斤,2021-07-08
彩椒,3.00,3.50,4.00,红\黄,斤,2021-07-08
白萝卜,0.30,0.35,0.40,\冀,斤,2021-07-08
心里美,0.70,0.85,1.00,冀泥/洗,斤,2021-07-08
