冬枣,12.00,16.00,20.00,其他类,斤,2021-07-11
杨梅,8.00,10.00,12.00,其他类,斤,2021-07-11
蓝莓,13.00,20.50,28.00,其他类,斤,2021-07-11
火龙果,3.00,4.00,5.00,其他类,斤,2021-07-11
木瓜,3.00,3.15,3.30,其他类,斤,2021-07-11
柠檬,3.50,3.75,4.00,其他类,斤,2021-07-11
青皮核桃,1.30,1.40,1.50,其他类,斤,2021-07-11
去皮核桃,4.00,4.50,5.00,其他类,斤,2021-07-11
姑娘果（灯笼果）,10.00,12.50,15.00,其他类,斤,2021-07-11
鸭梨,1.20,1.30,1.40,梨类,斤,2021-07-11
雪花梨,1.40,1.50,1.60,梨类,斤,2021-07-11
皇冠梨（标箱）,1.80,1.90,2.00,梨类,斤,2021-07-11
绿宝石,1.40,1.50,1.60,梨类,斤,2021-07-11
丰水梨,1.20,1.60,2.00,梨类,斤,2021-07-11
酥梨,1.50,1.60,1.70,梨类,斤,2021-07-11
库尔勒香梨,3.00,3.25,3.50,梨类,斤,2021-07-11
红香酥梨7号,1.30,1.40,1.50,梨类,斤,2021-07-11
红啤梨,3.00,3.25,3.50,梨类,斤,2021-07-11
早酥梨,1.40,1.50,1.60,梨类,斤,2021-07-11
沃柑,4.50,5.00,5.50,柑橘类,斤,2021-07-11
硒沙瓜,1.20,1.30,1.40,西瓜类,斤,2021-07-11
蜜童,1.40,1.60,1.80,西瓜类,斤,2021-07-11
墨童西瓜,1.40,1.55,1.70,西瓜类,斤,2021-07-11
国产香蕉,2.00,2.40,2.80,香蕉类,斤,2021-07-11
南美、菲律宾香蕉,3.00,3.25,3.50,香蕉类,斤,2021-07-11
泰国香蕉（帝王蕉）,8.00,8.50,9.00,香蕉类,斤,2021-07-11
皇帝(小米）香蕉,3.00,3.25,3.50,香蕉类,斤,2021-07-11
晓蜜25号,1.80,2.00,2.20,甜瓜类,斤,2021-07-11
黄金瓜／金蜜,1.60,1.70,1.80,甜瓜类,斤,2021-07-11
玉菇,1.50,1.75,2.00,甜瓜类,斤,2021-07-11
网纹,2.50,3.00,3.50,甜瓜类,斤,2021-07-11
西洲蜜,1.40,1.60,1.80,甜瓜类,斤,2021-07-11
24白糖罐,1.50,1.75,2.00,甜瓜类,斤,2021-07-11
羊角蜜,2.00,2.50,3.00,甜瓜类,斤,2021-07-11
白条猪（瘦）,11.00,11.00,11.00,猪肉类,斤,2021-07-11
白条猪（肥）,9.00,9.00,9.00,猪肉类,斤,2021-07-11
前臀尖（瘦）,9.50,10.00,10.50,猪肉类,斤,2021-07-11
前臀尖（肥）,8.50,9.00,9.50,猪肉类,斤,2021-07-11
后臀尖（瘦）,9.50,10.00,10.50,猪肉类,斤,2021-07-11
后臀尖（肥）,8.50,9.00,9.50,猪肉类,斤,2021-07-11
猪肺,4.00,4.00,4.00,猪肉类,个,2021-07-10
猪皮,3.00,4.00,5.00,猪肉类,斤,2021-07-10
猪肠头,18.00,18.00,18.00,猪肉类,斤,2021-07-10
猪肠,16.00,16.00,16.00,猪肉类,斤,2021-07-10
整牛,33.00,33.00,33.00,牛肉类,斤,2021-07-10
牛前腱,36.00,36.00,36.00,牛肉类,斤,2021-07-10
